a,b,c,d,e,f,g,h,class
5,76,0,42,1,34,34,0,1
0,82,0,54,27,29,28,0,1
-3,81,0,-22,-7,26,105,78,4
0,81,0,38,-15,41,43,2,1
-4,81,0,-40,91,4,123,118,5
0,78,0,10,-5,23,68,46,4
0,104,0,54,5,50,49,0,1
5,83,0,34,0,45,49,4,1
0,77,-1,28,3,21,48,28,4
-1,79,-4,24,-9,23,55,32,4
-1,86,0,50,5,37,37,0,1
0,87,6,50,1,38,38,0,1
-2,81,0,56,6,25,24,0,1
1,89,0,56,0,33,32,0,1
-2,80,0,-4,14,25,85,60,4
0,107,0,46,3,61,60,0,1
0,79,-2,42,0,38,37,0,1
-5,80,0,54,10,27,26,0,1
0,105,0,18,10,68,87,18,1
0,88,2,46,0,41,41,0,1
0,100,0,46,0,53,54,2,1
3,81,0,46,15,35,35,0,1
0,77,0,-22,3,40,101,60,1
3,88,-4,44,-24,42,44,2,1
-5,76,0,36,-23,38,39,2,1
-5,86,0,38,0,47,47,0,1
4,80,5,38,0,41,41,0,1
0,98,2,50,-1,42,49,8,4
4,79,0,50,0,29,30,0,1
0,77,0,30,-2,22,46,24,4
-35,107,0,60,-26,35,47,12,3
0,79,-1,0,10,42,79,36,1
0,81,0,-6,-23,25,88,64,4
0,79,-7,46,0,32,32,0,1
-2,77,0,34,-9,22,44,22,4
-1,107,-3,70,0,1,37,36,5
-4,106,0,42,0,63,64,2,1
0,88,1,46,3,41,41,0,1
0,79,0,34,10,42,46,4,1
1,86,0,44,12,43,42,0,1
0,76,0,28,-3,40,48,8,1
0,96,0,50,-18,40,47,6,4
0,81,0,52,0,30,30,0,1
-5,80,0,42,0,39,39,0,1
-4,102,0,50,0,51,53,2,1
-1,107,0,50,0,56,58,2,1
2,78,2,44,0,22,34,12,4
0,106,0,72,0,1,34,34,5
0,77,0,-28,-11,21,105,84,4
1,79,0,44,0,35,35,0,1
0,81,0,42,-5,38,40,2,1
0,83,1,44,26,39,39,0,1
0,106,13,26,-2,69,80,12,1
0,100,-2,46,0,54,53,0,1
-1,77,0,46,0,31,30,0,1
-1,108,6,46,0,59,61,2,1
0,77,0,8,-15,40,69,30,1
0,83,0,50,6,34,34,0,1
0,85,-1,38,0,46,46,0,1
-5,108,-11,28,0,71,79,8,1
0,87,0,42,28,46,46,0,1
0,76,-6,44,0,31,32,0,1
0,76,8,38,1,39,37,0,1
0,84,0,46,2,38,37,0,1
0,77,7,42,0,35,36,2,1
0,79,0,8,2,42,71,28,1
0,97,0,42,0,41,55,14,4
0,92,0,0,31,36,92,56,4
0,97,0,50,27,41,48,6,4
0,86,0,-24,-15,4,112,108,5
0,93,0,12,19,56,81,24,1
0,81,-7,28,15,45,53,8,1
0,76,0,26,11,39,50,12,1
-5,86,0,52,-2,33,34,0,1
0,104,-5,24,0,67,81,14,1
0,76,0,-14,-3,21,92,70,4
0,77,0,6,-14,22,72,50,4
0,83,-6,42,0,41,41,0,1
0,77,0,38,27,40,39,0,1
-1,78,0,50,-7,27,29,2,1
0,78,0,16,-2,22,63,40,4
0,84,3,-24,6,4,110,106,5
0,79,0,18,2,42,61,18,1
0,77,0,38,-3,37,39,2,1
0,105,-2,30,2,68,74,6,1
-1,84,-4,46,0,38,38,0,1
0,96,0,52,-4,41,44,4,4
0,76,0,36,14,39,40,2,1
0,81,0,24,7,44,57,14,1
-1,84,-7,-20,0,4,105,100,5
1,79,-4,36,-6,42,43,2,1
-26,88,0,44,0,44,44,0,1
0,76,-1,36,1,40,40,0,1
0,77,0,-30,-7,22,108,86,4
0,82,0,56,14,26,25,0,1
1,83,1,-42,-22,4,126,122,5
0,81,5,-42,-25,5,125,120,5
2,104,0,54,0,50,49,0,1
-4,79,0,42,0,37,37,0,1
0,95,7,36,-4,40,59,20,4
0,81,0,-6,-5,25,88,64,4
0,93,0,44,-1,48,50,2,1
0,81,0,42,-25,38,40,2,1
1,77,0,38,0,37,38,0,1
0,92,-1,0,3,36,92,56,4
0,97,-7,46,0,42,51,8,4
2,79,0,42,15,38,38,0,1
0,77,0,26,-20,22,52,30,4
0,82,0,52,22,31,30,0,1
0,83,-3,54,3,30,28,0,1
1,75,0,36,-19,37,39,2,1
5,86,0,44,0,41,42,2,1
2,88,0,46,-9,40,42,2,1
-2,82,0,50,-12,31,33,2,1
0,77,0,44,-22,31,33,2,1
0,81,0,26,-12,44,55,10,1
0,84,0,42,9,43,43,0,1
-3,85,0,52,-27,32,33,2,1
0,81,-4,20,0,44,61,16,1
0,95,0,50,6,47,46,0,1
0,95,-1,42,-12,52,54,2,1
0,105,4,18,17,68,87,18,1
0,81,-1,-14,4,26,97,70,4
0,92,0,52,2,36,40,4,4
0,88,0,54,15,35,34,0,1
0,83,0,28,9,46,54,8,1
-4,75,0,42,11,34,34,0,1
-6,81,0,44,0,36,37,2,1
3,86,0,56,0,27,29,2,1
1,81,0,52,0,29,29,0,1
0,86,6,44,0,42,42,0,1
0,96,0,52,-2,40,44,4,4
0,87,0,60,0,28,28,0,1
0,108,-2,72,8,1,35,34,5
4,86,0,-40,4,4,128,124,5
0,104,0,18,18,67,86,18,1
0,77,0,-24,-29,40,103,62,1
-2,104,-1,70,0,1,35,34,5
0,106,0,26,-23,68,80,12,1
5,78,0,50,1,29,29,0,1
3,78,0,38,-27,37,39,2,1
3,86,0,56,12,30,29,0,1
0,89,0,56,29,34,32,0,1
0,81,0,28,-2,44,52,8,1
2,81,0,46,-1,33,35,2,1
0,78,5,8,-30,22,70,48,4
0,81,0,56,29,26,24,0,1
-2,81,0,-22,-5,26,105,78,4
0,77,5,38,1,39,38,0,1
0,77,0,52,18,26,25,0,1
0,104,1,26,13,67,78,12,1
0,93,0,50,-4,38,44,6,4
0,96,0,54,-8,40,42,2,1
0,82,0,18,-17,45,64,18,1
0,89,4,42,0,46,48,2,1
4,79,0,54,0,24,25,0,1
0,83,2,38,-3,42,44,2,1
4,80,0,46,-6,31,34,2,1
5,81,0,46,0,32,34,2,1
0,76,0,30,-22,39,45,6,1
0,78,0,18,0,23,60,38,4
-3,81,-2,-40,30,5,123,118,5
1,84,0,42,-24,41,43,2,1
0,83,0,2,11,46,80,34,1
-1,76,-2,38,-4,36,37,0,1
0,90,3,42,0,46,48,2,1
0,76,0,36,0,39,39,0,1
-4,89,0,2,0,4,86,82,5
0,78,0,-4,23,42,83,42,1
1,81,0,52,-4,28,30,2,1
-1,86,0,44,13,42,42,0,1
-4,76,0,36,-21,38,39,2,1
0,79,-1,24,-1,42,55,14,1
0,75,-7,38,0,35,36,2,1
0,97,0,34,-22,59,63,4,1
0,77,0,34,9,40,44,4,1
0,80,3,6,-20,43,75,32,1
-1,98,3,46,-26,42,51,8,4
4,91,0,56,0,33,34,0,1
5,86,0,42,1,45,45,0,1
-5,111,0,62,0,49,49,0,1
0,98,0,52,-5,42,46,4,4
0,85,0,38,0,44,46,2,1
-5,107,0,38,4,69,68,0,1
1,81,0,54,-6,25,27,2,1
-3,98,0,46,0,42,51,8,4
0,81,2,46,6,35,34,0,1
0,81,-4,46,0,35,34,0,1
-1,89,0,50,0,39,40,0,1
0,78,0,12,8,42,65,24,1
0,95,-8,44,-1,39,51,12,4
0,98,8,46,0,42,51,8,4
0,85,-3,-22,0,4,108,104,5
0,76,0,20,19,40,55,16,1
0,88,0,44,-8,42,44,2,1
0,105,0,18,17,68,87,18,1
1,89,0,8,0,2,81,80,5
1,78,0,46,10,32,32,0,1
0,75,0,36,1,37,39,2,1
-3,82,0,38,-17,41,43,2,1
0,78,0,46,15,33,32,0,1
0,83,0,6,-26,47,78,32,1
0,95,2,50,0,40,46,6,4
0,83,-1,42,0,40,41,2,1
4,98,0,50,0,42,49,6,4
1,75,0,18,-1,38,57,18,1
0,84,6,42,30,43,43,0,1
-5,104,0,38,0,67,66,0,1
0,79,0,12,-1,23,66,42,4
9,78,0,38,-6,37,39,2,1
0,80,0,38,25,43,41,0,1
0,85,3,46,19,40,39,0,1
0,87,-4,38,0,46,48,2,1
0,83,0,42,-25,40,42,2,1
0,76,-1,24,4,39,52,14,1
3,74,1,-4,-1,18,79,60,4
0,91,0,50,-18,40,42,2,1
0,86,0,42,-19,43,45,2,1
0,88,0,6,17,3,83,80,5
0,77,0,20,-6,22,57,36,4
-2,79,0,42,0,36,37,2,1
4,83,0,42,7,41,41,0,1
0,79,0,2,-20,42,76,34,1
0,96,0,44,1,40,52,12,4
0,82,0,-38,2,26,121,94,4
2,99,0,46,-5,42,52,10,4
3,86,6,-40,1,5,128,124,5
0,77,0,-12,3,21,90,68,4
0,80,0,44,-15,35,36,2,1
0,75,0,18,-10,38,57,18,1
-2,81,2,44,23,37,37,0,1
0,83,0,50,30,34,34,0,1
0,75,0,44,14,32,31,0,1
0,95,0,52,24,39,43,4,4
0,77,0,-30,-9,22,108,86,4
0,78,0,10,-7,41,68,26,1
-4,89,0,54,0,34,35,0,1
0,81,-4,26,-4,45,55,10,1
-3,81,-4,44,-27,35,37,2,1
0,81,0,50,6,32,32,0,1
-1,81,0,54,3,28,27,0,1
0,76,0,-10,-4,20,86,66,4
0,79,0,42,-10,35,37,2,1
0,78,0,20,-7,41,57,16,1
0,81,0,-2,3,44,84,40,1
0,98,0,44,6,42,54,12,4
0,88,-7,50,0,38,39,0,1
-3,90,-1,52,-1,37,38,0,1
0,77,-1,20,-5,40,56,16,1
0,89,2,2,0,4,86,82,5
-3,81,3,46,7,36,35,0,1
0,91,6,6,0,53,86,32,1
-2,86,0,54,-13,31,32,2,1
-2,102,0,50,-15,51,53,2,1
5,76,0,20,0,39,55,16,1
