a,b,c,d,e,f,g,h,i,l
4.9299,66.1998,23.3487,6.0125,70.5125,0.0788,2.7877,7.6109,39.9005,28.9845
1.0,2.0,1.9453,0.0002,0.0625,0.8828,0.2338,247.0,250.0,248.3398
3.0,206.0,52.6367,0.0755,1029.5874,0.0942,3.3102,164.0,242.0,219.0195
3.0,105.0,17.6289,0.026,185.9583,0.1811,2.4602,207.0,247.0,240.5117
7.7247,128.5447,69.2029,9.1292,144.1958,0.0494,3.1849,-24.038,32.2862,-1.2219
5.0,174.0,81.8438,0.061,410.7584,0.0314,3.6298,153.0,236.0,188.5625
5.0,97.0,21.7852,0.0391,227.6583,0.0538,3.2015,191.0,235.0,225.25
7.0,97.0,32.2031,0.0395,199.3667,0.0515,3.2268,191.0,245.0,228.8828
7.0,155.0,46.0391,0.0966,1041.35,0.0216,4.0122,182.0,249.0,226.7852
65.3399,86.4082,74.2264,0.5875,1.1208,0.4416,1.0204,-100.4897,-81.0565,-92.4239
2.0,97.0,14.9961,0.0447,313.5833,0.0525,3.3021,206.0,252.0,244.0039
10.0,143.0,70.5547,0.0479,227.1,0.0378,3.3857,178.0,245.0,206.1016
26.2132,99.5221,68.0902,4.4042,31.9208,0.0965,2.4798,-100.4897,6.3904,-54.3981
54.1609,138.2189,84.9394,7.4417,99.7333,0.0619,2.9536,-24.038,4.421,-12.173
8.0,139.0,37.418,0.0805,800.4835,0.0286,3.7872,188.0,246.0,230.3359
71.1444,81.4636,77.8568,0.1833,0.2,0.7085,0.4972,-92.9238,-81.0565,-88.0869
5.0,176.0,53.1094,0.0987,1288.9708,0.0249,3.9939,168.0,251.0,223.2227
9.0,208.0,107.1836,0.1311,1811.196,0.0181,4.2016,105.0,235.0,172.7617
11.8094,124.03,71.7843,7.725,109.0417,0.0595,3.0081,-20.584,28.8133,-3.2725
8.5846,138.2189,57.9188,10.1167,170.1583,0.0467,3.2234,-44.8302,32.7164,-0.273
4.9299,95.0074,31.7851,10.3167,193.2,0.0495,3.2374,21.9157,41.5571,33.5373
82.7535,122.3102,101.1042,3.3625,23.8208,0.1287,2.2625,-110.6983,-79.7594,-97.6064
80.8186,111.3461,95.9396,2.5,10.6083,0.1605,1.9779,-106.8235,-51.2846,-91.446
7.0,157.0,82.5742,0.0933,894.1209,0.0224,3.9413,158.0,236.0,190.6445
3.0,118.0,17.8242,0.0259,129.1708,0.1298,2.6811,206.0,249.0,241.8984
35.0274,108.5513,62.0883,8.3292,108.7875,0.0565,3.0122,-28.7597,0.3176,-16.7011
2.0,3.0,2.5703,0.0007,0.175,0.7112,0.4637,246.0,249.0,247.7109
5.5749,47.0664,13.4914,2.575,13.8667,0.1576,2.0762,-12.7902,35.2792,24.4446
78.8838,136.929,101.9675,3.4958,23.2792,0.1158,2.3279,-109.0203,-49.5581,-79.4907
10.0,124.0,49.6211,0.0696,507.3792,0.0286,3.7099,184.0,242.0,216.832
3.0,132.0,54.2813,0.1024,1131.3667,0.02,4.0625,180.0,249.0,217.293
7.0,129.0,35.8242,0.0527,336.8209,0.0359,3.5174,174.0,238.0,221.6133
42.1218,127.8997,69.5799,3.4667,24.375,0.1248,2.3161,-84.5843,-35.1761,-57.9557
8.1547,82.3235,39.0617,6.6708,87.8042,0.0711,2.8861,-77.2051,32.2862,-29.5083
61.9002,136.929,100.508,5.4458,48.2792,0.0779,2.6915,-101.0037,-38.6452,-77.0128
6.0,46.0,11.4844,0.0139,34.3542,0.1417,2.3308,226.0,246.0,242.5742
5.1449,99.0921,29.212,6.375,98.5583,0.1118,2.7441,-0.6967,35.0668,24.6213
3.0,17.0,3.6758,0.0025,2.3042,0.4961,1.0354,243.0,250.0,248.8125
2.0,211.0,50.582,0.0688,825.475,0.0603,3.4459,185.0,252.0,229.2188
68.3497,106.4015,84.8521,2.8042,13.7625,0.1374,2.114,-103.6105,-59.8774,-76.8059
4.285,107.9064,20.5363,7.5208,159.6542,0.1225,2.8163,11.7035,40.9373,34.6397
5.0,201.0,47.6406,0.099,1189.8625,0.0228,3.9915,172.0,243.0,218.9922
8.3696,80.3887,45.8269,5.9958,64.7292,0.079,2.7706,-5.332,31.8552,9.5246
19.1188,78.8838,55.633,2.9792,14.9792,0.1304,2.1303,-96.4604,-13.8821,-78.7457
4.0,213.0,119.9648,0.0745,618.7792,0.0281,3.7773,45.0,239.0,163.9141
15.4641,128.7596,64.3053,8.8458,137.8875,0.0535,3.1318,-18.8835,33.5741,13.251
6.4348,58.6755,18.9533,5.0417,43.6,0.0861,2.6023,-76.3651,33.7879,-3.4208
10.0,130.0,48.9297,0.0631,452.2875,0.0324,3.6019,168.0,237.0,213.5742
67.0598,104.4667,88.5975,3.7833,28.7583,0.1122,2.4146,-18.8835,-4.811,-13.8798
4.9299,136.499,44.883,8.4125,154.3125,0.0673,3.0687,-2.9995,39.276,24.3977
46.4215,123.3851,85.822,7.6625,92.0792,0.0584,2.964,-23.1677,5.1619,-8.276
3.0,52.0,13.3203,0.0209,65.2042,0.0938,2.6676,215.0,247.0,239.6445
5.3599,39.3271,8.258,1.3583,10.5833,0.4344,1.3808,19.4112,34.0016,31.7068
28.148,91.1378,60.895,3.3792,20.7375,0.1246,2.2614,-86.8425,-12.2468,-61.7964
16.9689,81.2486,49.1684,3.2458,19.4375,0.1255,2.2654,-64.0014,8.3395,-44.2619
83.1834,100.812,91.6265,1.05,2.3583,0.2932,1.3558,-105.205,-91.4921,-100.5636
3.64,42.1218,9.0406,2.2,19.7833,0.2958,1.8027,30.3397,41.3507,39.433
4.07,96.0824,11.3131,3.1292,66.0375,0.4539,1.5724,13.1275,40.7304,37.2454
8.0,239.0,106.0078,0.1299,1770.6416,0.018,4.187,165.0,247.0,199.2969
59.3204,111.1311,82.3579,3.9167,29.3833,0.1081,2.4284,-103.0842,-42.8494,-82.5831
41.6919,68.3497,62.1698,1.1708,2.9625,0.2904,1.4332,-94.8607,-52.3305,-85.9087
4.0,5.0,4.6016,0.0008,0.2042,0.675,0.5061,245.0,247.0,245.9844
4.07,70.4995,10.2743,2.8333,22.45,0.1981,2.1159,8.5817,41.7633,37.578
7.0,145.0,40.3945,0.0629,490.3209,0.0326,3.6723,165.0,235.0,214.9297
30.0828,95.4374,70.6633,5.7958,54.6625,0.0738,2.7457,-18.3204,3.3275,-7.3425
2.0,121.0,12.918,0.0304,290.7792,0.2396,2.2656,204.0,252.0,244.8555
59.9654,115.6457,83.526,3.3458,20.7792,0.1223,2.2874,-85.0325,-26.6771,-52.193
72.8643,90.4928,79.4615,0.7375,1.4875,0.38,1.1607,-112.4037,-101.0037,-106.4241
3.855,124.245,46.9069,11.2125,249.1458,0.053,3.3089,-8.4899,37.1816,20.1193
5.0,94.0,20.5938,0.0441,248.35,0.0483,3.2979,186.0,236.0,225.125
4.0,148.0,27.8398,0.0778,748.8,0.0278,3.7819,189.0,251.0,237.668
3.0,118.0,15.9219,0.0286,178.0208,0.154,2.653,193.0,251.0,242.7695
14.6041,72.8643,39.5689,3.3833,21.8667,0.1265,2.2693,-51.981,19.8689,-15.9466
50.9361,96.7273,77.8786,2.2542,9.1708,0.1698,1.9273,-83.6927,-40.2485,-58.2731
9.0,151.0,35.6602,0.0508,372.4959,0.0452,3.434,171.0,242.0,225.4688
5.0,199.0,96.9922,0.076,714.3752,0.0296,3.745,155.0,240.0,186.7305
6.0,90.0,17.6133,0.0195,74.4125,0.1294,2.5561,214.0,246.0,240.207
38.4672,113.2809,76.8331,3.8583,26.9917,0.1091,2.4058,-79.7594,-27.8638,-59.1211
7.0,83.0,20.9219,0.0251,100.5083,0.0927,2.8012,212.0,246.0,237.9453
5.3599,66.4148,25.1693,2.9958,17.2208,0.1348,2.1969,-10.6268,33.7879,16.2541
7.0,112.0,35.1484,0.0543,352.05,0.036,3.4962,201.0,246.0,231.4883
5.1449,28.148,9.6209,1.425,5.475,0.2675,1.6279,-30.264,36.7603,21.1204
10.0895,66.8448,37.2469,4.1,35.3583,0.1168,2.434,-84.1377,22.5934,-43.242
5.0,141.0,18.6367,0.034,213.5583,0.0718,3.031,193.0,245.0,237.6133
5.0,157.0,52.8281,0.0808,734.5125,0.0263,3.8249,140.0,238.0,205.1055
5.0,124.0,21.9531,0.0341,194.2583,0.0704,3.0476,176.0,240.0,229.5078
5.0,164.0,19.9453,0.0372,288.9458,0.068,3.0701,190.0,246.0,238.6445
20.4086,68.5646,42.5669,1.4333,4.325,0.2452,1.5884,-89.6102,-12.7902,-53.6055
10.5195,145.0983,76.5501,11.075,204.2667,0.0429,3.3189,-21.7274,31.6394,0.1395
6.4348,73.5092,36.5399,6.2375,67.4458,0.0715,2.8095,-5.8544,33.7879,13.5911
5.0,110.0,17.9219,0.0271,135.6833,0.0961,2.834,191.0,239.0,232.3164
7.0,125.0,48.7578,0.0697,578.5251,0.0281,3.7796,191.0,243.0,221.957
22.1285,122.3102,79.6488,9.4958,147.5542,0.0469,3.1986,-12.5183,24.6132,-0.8252
8.1547,87.2681,63.7653,3.9625,29.0292,0.1076,2.4136,-8.2246,30.7739,-1.6807
3.0,197.0,39.0938,0.0654,738.8542,0.0494,3.55,158.0,242.0,220.8906
19.0,157.0,72.3438,0.0539,328.5458,0.0359,3.5149,132.0,224.0,179.5234
2.0,91.0,15.9141,0.0321,168.45,0.0753,3.0113,211.0,252.0,244.2305
13.0,212.0,119.1836,0.1103,1218.421,0.0199,4.0848,134.0,228.0,169.3594
47.0,215.0,166.6914,0.0559,383.2834,0.0389,3.4877,189.0,225.0,194.0938
4.0,90.0,19.082,0.0506,350.9167,0.042,3.4382,197.0,245.0,233.3984
3.0,21.0,5.0078,0.0064,8.0125,0.251,1.7061,238.0,249.0,246.4961
36.3173,103.1768,79.2919,6.3958,74.8542,0.0716,2.8339,-22.0145,8.097,-12.7124
10.7345,79.5287,42.1101,5.6667,57.3167,0.0774,2.7443,-3.5153,32.0708,9.393
6.2198,125.7499,57.7517,9.6333,178.6583,0.0512,3.1918,-15.2567,34.4283,13.1092
5.0,179.0,59.4805,0.0965,1060.9875,0.0225,3.9638,164.0,239.0,210.7344
3.0,73.0,11.3594,0.0183,64.1125,0.1161,2.5362,216.0,248.0,243.7344
4.9299,48.3563,14.7813,3.7042,32.4125,0.123,2.3593,6.8795,34.6414,27.9743
4.285,148.323,75.2862,10.325,188.0083,0.0547,3.1944,-26.6771,39.6925,6.4793
41.4769,97.3723,73.6839,4.4583,36.625,0.0958,2.5284,-12.2468,4.1733,-8.5255
76.949,84.9033,80.5533,0.3375,0.4708,0.5728,0.7261,-98.9616,-89.6102,-93.6382
50.5061,81.4636,69.721,1.2833,4.0667,0.2697,1.5238,-95.8417,-28.4606,-75.0175
9.0,182.0,75.8359,0.1063,1156.5585,0.0199,4.0436,155.0,237.0,199.1133
5.3599,89.2029,38.1984,8.1333,118.8834,0.0585,3.0566,-13.8821,34.215,12.2526
31.8027,105.3266,80.1183,4.5625,37.2708,0.0944,2.5132,-25.2057,-3.2572,-19.1633
3.0,61.0,7.625,0.0086,33.9667,0.32,1.6409,221.0,247.0,244.2461
5.0,70.0,12.2969,0.0186,69.525,0.1573,2.4648,200.0,239.0,233.5234
2.0,20.0,3.7188,0.0041,5.5583,0.4264,1.2999,242.0,254.0,251.7852
4.07,115.2158,26.2871,7.425,162.8,0.1668,2.6593,5.4082,40.3158,30.5424
77.8089,96.0824,88.1801,0.6875,1.0458,0.3891,1.0531,-102.5603,-75.5307,-90.3883
2.0,45.0,4.7656,0.0093,31.4625,0.3097,1.7613,231.0,253.0,248.9219
6.8648,115.2158,30.4297,5.5667,63.2667,0.0823,2.7712,-9.8224,32.9311,19.7146
5.7899,137.3589,51.9346,8.7667,166.1667,0.0665,3.1044,-13.6085,34.215,10.9511
67.9197,110.0562,89.0576,3.9875,29.7708,0.1066,2.4416,-72.6526,-40.8945,-61.385
2.0,19.0,3.2383,0.0028,3.3625,0.4943,1.0711,239.0,249.0,247.0039
16.0,191.0,93.1797,0.0832,666.0958,0.0252,3.8207,155.0,230.0,184.8125
10.0,204.0,98.4141,0.095,983.5042,0.0216,3.9957,152.0,237.0,186.1641
6.0,102.0,20.4883,0.0282,143.8125,0.0876,2.8622,209.0,247.0,239.3516
61.4702,127.6847,90.964,8.2875,112.0458,0.0534,3.0612,-19.7316,-5.593,-10.6754
2.0,177.0,29.6094,0.0842,1082.775,0.0335,3.7835,194.0,253.0,239.1641
15.0,190.0,82.2031,0.0769,628.6542,0.0249,3.8413,157.0,231.0,192.8516
85.1183,106.4015,93.9787,2.1708,9.3125,0.1764,1.9167,-109.0203,-88.2182,-101.8816
64.05,119.0854,88.8587,5.1333,45.525,0.084,2.628,-22.8787,-9.0217,-16.3216
5.0,181.0,41.5859,0.0667,538.9625,0.0319,3.671,174.0,242.0,222.3984
49.4312,69.6396,59.2507,0.8458,1.6042,0.3593,1.1793,-87.7579,-67.082,-77.6708
62.3302,73.9392,66.6365,0.3833,0.4417,0.5259,0.7424,-105.7418,-95.8417,-101.6857
96.0,218.0,167.1484,0.0645,431.3209,0.0308,3.6145,153.0,177.0,157.3711
5.0,166.0,32.3359,0.0665,572.0459,0.0331,3.6781,170.0,242.0,222.5938
4.0,9.0,5.6328,0.0014,0.5375,0.5609,0.7817,242.0,246.0,244.1328
4.07,73.0793,14.0188,5.1625,76.8208,0.1847,2.4109,26.6133,41.5571,38.0552
8.3696,113.0659,49.4279,11.1875,209.2959,0.0421,3.3254,-17.4794,35.0668,10.9683
7.5097,119.5154,48.1808,11.6292,216.1458,0.0424,3.3184,-5.0714,36.971,20.6585
12.0,194.0,92.2617,0.0963,926.2626,0.0235,3.9297,154.0,232.0,186.7617
4.0,255.0,75.4414,0.1608,2980.2209,0.0164,4.3005,166.0,245.0,210.7773
5.0,236.0,62.5977,0.0918,1275.3168,0.0333,3.8701,165.0,250.0,221.168
9.4446,86.1932,36.3316,6.125,65.75,0.0735,2.7836,-85.4825,26.1705,-13.6842
30.7278,58.6755,47.4301,1.25,3.9583,0.276,1.5203,-88.2182,-29.3597,-67.341
3.0,88.0,11.7695,0.0316,214.7125,0.0873,2.8881,196.0,244.0,238.4961
54.1609,125.1049,86.4871,5.4875,60.1875,0.0809,2.7418,-26.0869,-2.4852,-7.2355
5.3599,142.0885,38.0196,8.4625,171.7625,0.0989,2.9376,-7.431,38.4406,23.9195
5.0,78.0,23.0586,0.0269,88.0542,0.0683,2.8978,214.0,245.0,237.0625
5.0,111.0,44.1211,0.0543,315.2,0.0378,3.4653,204.0,246.0,230.0234
5.7899,143.1635,73.8654,9.9583,168.6417,0.0466,3.2225,-32.0881,38.6498,6.1495
10.0,148.0,61.8398,0.0872,884.9084,0.0236,3.9306,181.0,243.0,215.7539
16.0,172.0,76.2656,0.112,1245.8335,0.0191,4.102,174.0,241.0,209.5664
3.0,97.0,25.3086,0.0577,394.6417,0.0348,3.571,209.0,252.0,241.375
4.0,24.0,5.7656,0.0034,4.725,0.474,1.1576,236.0,246.0,244.8125
31.5877,123.1701,72.7031,9.0333,146.75,0.0526,3.1429,-12.5183,15.7117,-4.4893
3.2101,58.4605,6.9009,2.075,20.1,0.3727,1.6433,23.9421,42.1752,40.4549
4.715,17.3989,8.0337,0.6792,1.8208,0.4659,1.0928,0.8227,33.7879,28.8613
6.6498,98.6621,39.977,9.0125,142.4208,0.0552,3.1079,-14.1561,32.7164,12.9922
8.7996,91.1378,49.7251,7.425,90.7,0.0595,2.9557,-23.1677,30.1224,4.287
5.0,144.0,40.5039,0.0909,1054.0376,0.0253,3.9303,193.0,249.0,230.0742
6.6498,136.069,72.0363,11.1333,223.1,0.0441,3.3396,-16.3644,34.0016,2.2133
6.2198,115.0008,58.4882,7.5792,115.7208,0.0732,2.9633,-22.5901,33.3599,5.6448
3.0,195.0,58.9219,0.0575,614.7667,0.1009,3.1781,153.0,240.0,209.625
65.5549,107.9064,88.1432,4.4167,33.8,0.0941,2.5114,-58.0431,-30.264,-44.1541
7.7247,121.4503,61.7566,13.05,268.725,0.0355,3.4724,-9.2882,33.7879,10.948
5.5749,53.5159,23.5091,3.1125,17.9375,0.1298,2.227,-11.9758,33.3599,15.6124
7.0,155.0,44.6367,0.0653,549.5833,0.0362,3.6145,161.0,240.0,215.7852
20.0,171.0,92.9023,0.0926,903.6375,0.0231,3.943,142.0,227.0,179.1836
16.0,147.0,82.3711,0.0734,541.6792,0.0277,3.7327,161.0,231.0,191.6836
2.0,4.0,2.9375,0.0003,0.075,0.8613,0.2664,247.0,250.0,249.3906
10.0,136.0,52.9727,0.0876,803.9916,0.0232,3.9174,161.0,234.0,210.5117
2.0,3.0,2.0156,0.0001,0.0167,0.9672,0.0848,246.0,248.0,246.8789
63.6201,94.5775,82.9525,1.5542,4.9292,0.2239,1.6394,-107.9162,-60.9898,-93.3431
5.1449,54.5908,11.0301,2.9083,33.1,0.2362,2.0133,19.1819,35.0668,32.1024
4.0,179.0,32.4141,0.0424,393.2667,0.0752,3.1054,195.0,247.0,235.4531
3.4251,26.8581,4.5058,0.4458,3.7875,0.8262,0.5078,32.2862,41.5571,40.733
7.0,176.0,81.75,0.0976,1012.6793,0.0217,3.999,153.0,238.0,193.0781
5.0,116.0,36.0195,0.0703,568.975,0.0315,3.6985,171.0,234.0,216.6875
81.0336,93.7176,86.1126,1.0917,3.275,0.3123,1.4135,-101.0037,-86.8425,-96.5803
9.0,206.0,87.8633,0.0928,975.2958,0.0222,3.9753,153.0,233.0,190.0977
4.9299,69.6396,17.5904,4.4,55.1417,0.2067,2.3038,-1.9724,35.4914,26.6403
11.0,201.0,83.6602,0.1004,1033.2999,0.0218,3.9614,155.0,236.0,193.1172
4.9299,102.3168,17.6374,5.6375,91.2125,0.1124,2.6551,14.3063,35.7034,30.8259
3.0,157.0,33.0313,0.0848,941.4208,0.0254,3.8871,184.0,251.0,234.5391
5.3599,77.8089,39.993,4.8208,41.1792,0.0891,2.6033,-8.4899,33.7879,7.8895
59.7504,116.9356,92.0262,2.6167,13.7,0.1525,2.0887,-107.9162,-55.1578,-84.8907
3.0,111.0,17.8164,0.0331,167.1458,0.0639,3.0648,186.0,241.0,232.7109
9.2296,115.8607,60.8681,8.3625,116.2542,0.0534,3.0851,-31.4778,26.1705,-14.2234
61.0403,141.8736,98.0281,6.0417,64.825,0.0731,2.7884,-105.205,-38.3266,-77.8117
7.0,188.0,84.0508,0.0947,901.7875,0.021,3.9842,150.0,236.0,187.5078
6.0048,128.3297,33.4705,7.75,120.8667,0.0672,3.0057,-29.0595,37.6021,21.1386
7.5097,107.6914,62.263,7.6958,100.0542,0.0618,2.9786,-18.6017,31.207,-3.1764
5.0,148.0,42.9922,0.079,725.2166,0.026,3.8399,180.0,244.0,223.3594
5.7899,74.1542,20.9066,6.0708,86.9708,0.0941,2.7553,-2.9995,33.3599,25.8001
3.0,25.0,4.7734,0.0049,7.8792,0.3535,1.4045,237.0,247.0,246.1211
8.0,112.0,34.6016,0.0451,255.5917,0.0454,3.3419,187.0,239.0,224.0938
2.0,133.0,15.5938,0.0407,397.5209,0.1011,2.9483,199.0,253.0,244.2344
74.1542,87.6981,81.7415,0.4792,0.6708,0.4742,0.8903,-99.978,-84.1377,-94.1074
85.5482,99.5221,91.4351,1.3333,3.9583,0.2614,1.5531,-107.3685,-99.978,-103.3831
39.0,195.0,131.2539,0.069,469.7583,0.0276,3.6791,153.0,214.0,165.8008
5.0,103.0,10.2656,0.0127,74.0583,0.433,1.5578,197.0,249.0,245.4648
3.0,118.0,16.6289,0.0369,308.7208,0.1242,2.8673,183.0,242.0,235.1836
4.715,124.03,19.5067,5.9667,94.3667,0.1219,2.6746,-11.4349,39.4844,32.9627
17.6139,130.4795,75.8228,12.0583,224.0584,0.0399,3.3445,-14.4306,26.392,4.0266
7.0,166.0,75.5547,0.0868,881.9709,0.0257,3.8929,154.0,237.0,197.1445
4.0,74.0,11.5859,0.0201,64.9917,0.0985,2.6154,214.0,248.0,242.9922
2.0,132.0,29.4336,0.0739,749.8042,0.0355,3.716,201.0,254.0,239.6914
8.5846,114.3558,70.9051,9.6583,150.7833,0.0494,3.1665,-10.0901,32.2862,-1.2669
5.5749,60.6103,20.0769,4.6292,47.3542,0.1162,2.5422,-4.0324,33.7879,23.2095
6.8648,102.1019,34.3111,6.3792,82.9958,0.073,2.8473,-42.1949,36.3381,8.1682
1.0,40.0,5.1836,0.0146,43.5292,0.148,2.31,230.0,253.0,249.918
74.3692,87.6981,80.3097,0.9167,1.6917,0.3301,1.2322,-106.2813,-93.8882,-100.9244
8.0,81.0,19.1328,0.027,126.6667,0.0884,2.8506,204.0,244.0,234.1641
56.9556,73.0793,66.3519,0.5958,0.9375,0.4225,1.0076,-105.7418,-93.405,-100.3243
7.0798,99.952,36.2863,7.1208,93.4208,0.0657,2.9312,-11.9758,32.7164,16.5666
9.0,209.0,89.4766,0.1182,1490.5878,0.0181,4.193,158.0,236.0,191.3047
2.0,3.0,2.2852,0.0008,0.2042,0.675,0.5061,247.0,250.0,249.0039
54.8058,85.3333,72.8056,0.825,1.525,0.3476,1.1977,-96.9562,-51.981,-80.9855
6.6498,122.5252,74.3843,7.8167,108.2667,0.0591,3.0167,-13.0626,32.5014,-5.01
3.2101,15.2491,4.0641,0.2375,1.0292,0.8277,0.4386,35.4914,40.7304,39.681
4.5,108.3363,58.4983,6.5042,73.8042,0.0691,2.8638,-35.8011,39.6925,5.0236
77.1639,85.1183,80.8119,0.1917,0.2083,0.6976,0.5103,-96.9562,-81.929,-87.3089
8.0,194.0,89.3789,0.0912,869.4418,0.0243,3.9166,161.0,237.0,194.5469
65.9849,82.1085,74.2508,0.6958,1.1208,0.388,1.0735,-109.0203,-88.2182,-100.9935
7.0,146.0,50.5313,0.0936,907.8249,0.0213,3.9907,192.0,246.0,224.3242
4.0,28.0,8.3242,0.0112,17.0583,0.1576,2.1046,237.0,247.0,244.3672
5.0,205.0,99.9414,0.1065,1388.9626,0.0221,4.0489,152.0,236.0,186.0313
3.0,37.0,5.0547,0.006,16.2542,0.3866,1.4387,230.0,249.0,247.0469
6.2198,92.8576,18.971,5.6625,86.3292,0.1165,2.6535,-11.7051,33.5741,25.8344
5.1449,99.7371,20.7941,3.6,32.275,0.1521,2.3295,-55.8736,37.6021,12.9766
8.0,160.0,55.7695,0.0852,873.3625,0.0273,3.8507,178.0,245.0,218.6875
9.0,182.0,61.3516,0.089,958.3293,0.0239,3.9355,172.0,244.0,216.3828
7.0,141.0,32.9063,0.067,547.2209,0.0325,3.6859,166.0,237.0,218.8398
9.0,167.0,61.8086,0.0704,536.7501,0.0289,3.7088,155.0,231.0,200.7109
4.0,152.0,42.0977,0.0762,686.5792,0.0285,3.8058,161.0,244.0,215.4492
5.0,232.0,109.8516,0.0878,924.4875,0.0315,3.8488,155.0,240.0,189.0508
3.0,102.0,11.3555,0.0317,205.2834,0.0857,2.9277,209.0,250.0,245.2969
81.4636,98.0172,89.7908,0.525,0.775,0.4506,0.9439,-99.4687,-78.9021,-93.2123
31.5877,121.4503,78.5109,8.8375,122.7458,0.0512,3.0968,-31.1735,4.9152,-20.9565
55.0208,120.1604,99.1576,2.8375,14.4625,0.1408,2.1277,-108.4668,-47.1751,-77.6324
3.2101,29.6529,3.6115,0.1375,1.9542,0.9348,0.1866,31.6394,42.3808,41.672
11.1644,90.0629,38.6015,2.7083,17.6833,0.1658,2.1191,-94.3734,20.5535,-39.9307
7.0,189.0,103.625,0.0889,813.8126,0.0233,3.9156,150.0,236.0,178.7422
2.0,144.0,39.1797,0.0927,1103.5792,0.0247,3.9382,199.0,254.0,236.0547
5.0,152.0,43.4297,0.0569,576.2334,0.0491,3.4366,127.0,238.0,210.2188
79.5287,92.8576,84.0274,0.5875,1.4375,0.4689,1.0341,-106.8235,-90.0778,-97.664
4.9299,31.5877,14.6402,1.7875,7.3292,0.2153,1.798,-52.3305,34.0016,4.5046
55.0,190.0,113.5586,0.0589,387.3833,0.0358,3.5328,47.0,148.0,102.4922
4.0,12.0,5.1133,0.0008,0.4833,0.749,0.5211,241.0,247.0,245.3477
8.0,147.0,54.0781,0.0931,994.0626,0.0233,3.9681,183.0,237.0,216.8086
10.0,144.0,59.6563,0.0733,566.8209,0.0274,3.7527,180.0,243.0,216.4922
8.0,161.0,53.1133,0.0846,785.0792,0.0256,3.8532,161.0,236.0,210.7227
74.1542,90.4928,82.4755,0.6917,1.5667,0.4155,1.1368,-91.0187,-71.0365,-81.8803
11.8094,88.558,46.0444,10.7875,185.5375,0.0449,3.2767,-59.1408,25.5045,-25.0877
7.0798,124.245,50.9092,9.6583,157.175,0.047,3.2115,-26.0869,32.9311,1.6107
38.8971,119.5154,72.8827,6.4792,71.9458,0.0674,2.8557,-27.2694,-0.1888,-19.4267
11.8094,88.558,48.447,7.0958,95.7042,0.0655,2.9265,-23.7475,26.1705,-5.2431
2.0,38.0,3.8828,0.0049,15.3458,0.5286,1.1401,231.0,252.0,248.7148
7.0,147.0,46.2578,0.0704,571.525,0.0292,3.7264,183.0,247.0,225.0117
35.6724,75.0141,60.8925,1.7917,5.575,0.2011,1.7107,-96.9562,-22.302,-84.5701
4.0,81.0,17.0859,0.035,185.1125,0.0627,3.1047,202.0,242.0,233.5898
5.1449,79.5287,20.4876,5.4958,59.8208,0.0865,2.6922,10.9876,39.276,30.1124
3.2101,51.1511,6.7136,1.3958,15.5625,0.5453,1.1764,27.0552,39.276,36.6243
8.0,131.0,39.1484,0.0658,519.0876,0.0315,3.6908,170.0,239.0,218.0234
19.5487,111.5611,61.7264,7.1917,100.45,0.0661,2.9322,-10.0901,25.7267,3.0331
8.0,139.0,46.6641,0.0711,572.875,0.0284,3.7283,182.0,245.0,223.1406
85.3333,100.597,91.2436,0.8375,1.6208,0.343,1.2156,-103.0842,-80.1903,-94.0674
42.9818,110.2712,86.4921,4.5542,32.5875,0.0912,2.4942,-104.1394,-12.7902,-81.1697
8.1547,122.7401,55.0351,9.8875,161.9625,0.0472,3.2123,-20.0152,34.6414,7.6173
74.7991,88.988,80.8841,0.6542,1.1792,0.4076,1.0724,-114.1375,-99.978,-106.9244
3.0,146.0,23.4688,0.0623,691.8958,0.0503,3.4926,186.0,242.0,230.207
2.0,41.0,7.8438,0.0178,50.2875,0.1069,2.5478,234.0,252.0,248.6328
5.0,208.0,118.9336,0.0953,1033.9834,0.0233,3.9536,148.0,235.0,174.0664
79.0988,91.7827,84.6338,0.9083,1.8167,0.3444,1.2256,-116.4959,-107.9162,-112.5977
49.8612,84.6883,71.1704,0.8625,1.7375,0.3407,1.2385,-96.9562,-49.9017,-79.829
5.0,116.0,40.3398,0.065,481.4333,0.03,3.6949,186.0,242.0,220.8594
3.0,12.0,3.4453,0.0011,0.5208,0.6727,0.6575,241.0,249.0,246.7813
8.0,155.0,46.4492,0.0799,861.025,0.0295,3.772,107.0,227.0,189.1602
8.0,192.0,74.6133,0.0869,783.6541,0.0236,3.9067,157.0,236.0,198.8164
10.9494,95.0074,61.2108,5.8458,60.0875,0.0757,2.7595,-17.1999,29.687,-5.2064
5.0,144.0,27.0195,0.0591,538.9,0.0397,3.5521,187.0,246.0,233.1328
15.0341,73.0793,46.7272,2.7375,13.9792,0.1522,2.0807,-81.4919,14.5413,-41.9865
7.5097,83.6134,46.5021,6.0333,66.3417,0.0735,2.8056,-17.4794,27.2758,-1.4013
3.0,47.0,6.9766,0.0114,24.9583,0.161,2.1511,230.0,252.0,247.6758
6.4348,92.4277,31.6473,8.5167,132.3,0.0552,3.0876,-79.7594,37.1816,-10.4002
6.0048,62.5452,28.0027,3.4708,21.9042,0.117,2.3179,-10.0901,33.1456,14.2351
10.0,146.0,51.0273,0.0613,417.4333,0.0307,3.6437,176.0,243.0,218.4023
6.6498,134.7791,34.9535,9.4417,206.0,0.0681,3.1349,-4.0324,37.6021,25.8399
